entidad,n_entidad,nivel,insc_t,hom_t,muj_t,egre_hom,egre_muj,egre_tot,docente_h,docente_m,tot_doc,porc_aban_hom,porc_aban_muj,porc_aban_tot,porc_doc_hom,porc_doc_muj,porc_ins_hom,porc_insc_muj
24,san luis potosí,inicial,46958,24253,22705,0,0,0,290,1772,2062,1.0,1.0,1.0,0.14064015518913675,0.8593598448108632,0.5164828144299161,0.4835171855700839
24,san luis potosí,media superior,657138,320058,337080,94006,109400,203406,25895,23718,49613,0.706284485936924,0.6754479648748072,0.6904668425810103,0.5219398141616108,0.4780601858383891,0.48704838253152305,0.512951617468477
24,san luis potosí,preescolar,680542,343850,336692,0,0,0,1283,28728,30011,1.0,1.0,1.0,0.04275099130318883,0.9572490086968112,0.5052590435270711,0.4947409564729289
24,san luis potosí,primaria,1788354,909188,879166,0,0,0,22882,53632,76514,1.0,1.0,1.0,0.29905638183861777,0.7009436181613822,0.5083937520200139,0.4916062479799861
24,san luis potosí,secundaria,867513,436172,431341,135321,139539,274860,17645,25174,42819,0.6897531249140247,0.6764995676274688,0.6831632494268097,0.4120834209112777,0.5879165790887223,0.5027843963145221,0.4972156036854779
25,sinaloa,inicial,59898,30957,28941,0,0,0,104,3097,3201,1.0,1.0,1.0,0.032489846922836615,0.9675101530771634,0.5168286086346789,0.48317139136532106
25,sinaloa,media superior,891314,431415,459899,104640,122105,226745,35464,35978,71442,0.757449323737005,0.7344960523941126,0.7456059256333907,0.4964026762968562,0.5035973237031438,0.4840213437688626,0.5159786562311374
25,sinaloa,preescolar,648115,329244,318871,0,0,0,436,29505,29941,1.0,1.0,1.0,0.014561971878026787,0.9854380281219732,0.5080024378389638,0.49199756216103624
25,sinaloa,primaria,1850811,946442,904369,0,0,0,14033,55402,69435,1.0,1.0,1.0,0.20210268596529127,0.7978973140347088,0.5113660984292832,0.48863390157071684
25,sinaloa,secundaria,920724,466224,454500,141465,144628,286093,23055,29045,52100,0.6965728920004118,0.6817865786578658,0.6892738757760197,0.4425143953934741,0.557485604606526,0.50636672879169,0.49363327120830996
26,sonora,inicial,61835,31695,30140,0,0,0,5,1799,1804,1.0,1.0,1.0,0.002771618625277162,0.9972283813747228,0.5125737850731786,0.48742621492682137
26,sonora,media superior,764358,372261,392097,95988,110978,206966,29655,32648,62303,0.742148653767115,0.7169628943858279,0.7292289738577996,0.47598028987368185,0.5240197101263182,0.48702440479461195,0.512975595205388
26,sonora,preescolar,522068,263313,258755,0,0,0,445,24328,24773,1.0,1.0,1.0,0.017963104993339522,0.9820368950066605,0.5043653317192396,0.49563466828076036
